"Age","kmDriven","Transmission","Owner","FuelType","AskPrice","LogAskPrice","isLuxury","kmPerYear","Brand_model"
8,50000,2,1,3,245000,12.4090134895269,0,6250,226
2,40000,1,2,3,680000,13.4298480771523,0,20000,339
11,87000,2,1,1,385000,12.8609986132699,0,7909.09090909091,213
9,149728.625,2,2,1,589000,13.2861814626337,0,16636.5138888889,360
10,80000,2,2,1,425000,12.9598444479066,0,8000,376
10,84000,2,2,3,265000,12.4874851049684,0,8400,226
3,18000,1,1,3,850000,13.6529916284665,0,6000,380
7,47000,1,1,3,575000,13.2621253197795,0,6714.28571428571,190
13,134000,2,1,1,425000,12.9598444479066,0,10307.6923076923,385
13,82000,2,1,3,180000,12.1007121298723,0,6307.69230769231,187
9,35000,1,1,3,425000,12.9598444479066,0,3888.88888888889,193
9,149728.625,1,2,1,450000,13.0170028617465,0,16636.5138888889,303
12,132000,2,1,1,1095000,13.9062649212327,0,11000,363
7,130000,1,2,3,2500000,14.7318012898384,1,18571.4285714286,142
4,59000,1,1,3,980000,13.7953078506468,0,14750,199
6,95000,1,2,3,575000,13.2621253197795,0,15833.3333333333,339
8,115000,2,2,1,110000,11.6082356447746,0,14375,334
2,11000,2,1,1,1675000,14.3313237232413,0,5500,171
9,68000,1,2,3,1185000,13.9852533325514,0,7555.55555555556,356
3,74000,1,1,3,1199000,13.9969984340097,0,24666.6666666667,316
12,88000,2,1,3,385000,12.8609986132699,0,7333.33333333333,213
10,47000,1,2,3,455000,13.0280526979331,0,4700,100
9,16,2,1,1,390000,12.8739020181058,0,1.77777777777778,151
12,68000,2,1,3,235000,12.3673407931263,0,5666.66666666667,72
17,115000,2,2,3,265000,12.4874851049684,0,6764.70588235294,76
13,50000,2,2,3,150000,11.9183905730784,0,3846.15384615385,103
7,98000,2,1,1,6e+05,13.3046849341983,0,14000,85
5,62000,1,1,1,3099000,14.9465900367699,1,12400,139
5,67000,2,2,1,899000,13.7090383134538,0,13400,327
9,69000,2,2,3,340000,12.7367008965923,0,7666.66666666667,354
3,49000,2,1,3,540000,13.1993244185405,0,16333.3333333333,198
11,149728.625,2,2,1,390000,12.8739020181058,0,13611.6931818182,219
6,86000,2,1,1,2499000,14.7314012098171,0,14333.3333333333,363
1,35000,1,1,1,2025000,14.5210802585228,0,35000,90
10,38000,2,1,3,370000,12.8212582846204,0,3800,226
4,105000,2,1,1,1050000,13.8643007221337,0,26250,90
2,25500,1,1,1,4199999,15.2505948451583,0,12750,355
9,67000,2,1,3,450000,13.0170028617465,0,7444.44444444444,221
8,78000,1,1,3,555000,13.2267233927286,0,9750,386
18,149728.625,2,1,1,295000,12.594730635322,0,8318.25694444445,365
6,66000,1,2,3,1075000,13.8878312195439,0,11000,90
8,75000,2,1,1,1480000,14.2075526457403,0,9375,366
6,85600,2,1,1,750000,13.5278284855125,0,14266.6666666667,224
12,149728.625,2,2,1,650000,13.3847276418718,0,12477.3854166667,199
14,46000,2,2,3,78000,11.2644641056717,0,3285.71428571429,103
9,68000,2,1,3,330000,12.7068479334427,0,7555.55555555556,196
6,73000,1,1,3,590000,13.2878778158819,1,12166.6666666667,61
13,74000,1,2,3,375000,12.8346813049525,0,5692.30769230769,74
6,65000,1,2,3,590000,13.2878778158819,0,10833.3333333333,218
3,50000,1,1,3,3250000,14.9941655543059,1,16666.6666666667,6
10,61000,1,1,3,685000,13.4371741172444,0,6100,74
19,98000,2,2,3,160000,11.982929094216,0,5157.8947368421,218
7,76000,1,2,1,760000,13.5410737122625,0,10857.1428571429,178
8,89100,2,2,1,760000,13.5410737122625,0,11137.5,178
6,73961,1,2,3,935000,13.7483018082708,0,12326.8333333333,380
5,60000,1,1,1,2740000,14.8234684783643,1,12000,62
6,46850,2,2,1,880000,13.6876771864544,0,7808.33333333333,171
1,28000,1,1,1,1785000,14.3949289731959,0,28000,171
11,99000,2,2,1,470000,13.0604879736862,0,9000,178
15,56328,2,1,3,265000,12.4874851049684,0,3755.2,222
6,127000,2,1,1,995000,13.8104980161407,0,21166.6666666667,90
11,78000,1,2,3,790000,13.5797882244432,1,7090.90909090909,243
2,31000,1,1,1,2700000,14.8087623309746,0,15500,366
4,57000,1,1,1,3045000,14.9290114591261,0,14250,315
7,70000,1,2,1,2650000,14.7900701979624,1,10000,62
